publicationId,publicationSeqNo,issn,eissn,publicationTitle,publicationTitle20,publicationTitleISO,publicationFrequency,issuesPerYear,submissionURL,openAccess,country,publicationStartYear,publisherName,publisherAddress,publisherCode,publisherURL
84436,C6859J,1049-3301,1558-1195,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ACM T MODEL COMPUT S,ACM Trans. Model. Comput. Simul.,Q,4,http://mc.manuscriptcentral.com/tomacs,FALSE,UNITED STATES OF AMERICA,1992,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84438,C7610J,1551-6857,1551-6865,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ACM T MULTIM COMPUT,ACM Trans. Multimed. Comput. Commun. Appl.,Q,4,http://mc.manuscriptcentral.com/acm/tomm,FALSE,UNITED STATES OF AMERICA,2005,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84440,D8161J,2471-2566,2471-2574,ACM TRANSACTIONS ON PRIVACY AND SECURITY,ACM T PRIV SECUR,ACM Trans. Priv. Secur.,Q,4,,,UNITED STATES OF AMERICA,2016,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84441,03625J,0164-0925,1558-4593,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,ACM Trans. Program. Lang. Syst.,Q,4,http://mc.manuscriptcentral.com/acm/toplas,FALSE,UNITED STATES OF AMERICA,1979,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84442,D0959J,1936-7406,1936-7414,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ACM T RECONFIG TECHN,ACM T. Reconfigurable Technol. Syst.,Q,4,http://mc.manuscriptcentral.com/trets,FALSE,UNITED STATES OF AMERICA,2007,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84443,C8378J,1550-4859,1550-4867,ACM TRANSACTIONS ON SENSOR NETWORKS,ACM T SENSOR NETWORK,ACM Trans. Sens. Netw.,Q,4,http://mc.manuscriptcentral.com/acm/tosn,FALSE,UNITED STATES OF AMERICA,2005,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84444,13142J,1049-331X,1557-7392,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,ACM Trans. Softw. Eng. Methodol.,Q,4,http://mc.manuscriptcentral.com/tosem,FALSE,UNITED STATES OF AMERICA,1991,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84446,D1216J,1553-3077,1553-3093,ACM TRANSACTIONS ON STORAGE,ACM T STORAGE,ACM Trans. Storage,Q,4,http://mc.manuscriptcentral.com/tos,FALSE,UNITED STATES OF AMERICA,2005,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84447,C9331J,1559-1131,1559-114X,ACM TRANSACTIONS ON THE WEB,ACM T WEB,ACM Trans. Web,Q,4,http://mc.manuscriptcentral.com/acm/tweb,FALSE,UNITED STATES OF AMERICA,2007,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84450,10318J,1063-7710,1562-6865,ACOUSTICAL PHYSICS,ACOUST PHYS+,Acoust. Phys.,B,6,http://www.maik.ru/cgi-perl/journal.pl?lang=eng&name=acoust&page=guid,FALSE,RUSSIAN FEDERATION,1993,PLEIADES PUBLISHING INC,"PLEIADES PUBLISHING INC, MOSCOW, RUSSIA, 00000",ADJ53,
84452,C8786J,0814-6039,1839-2571,ACOUSTICS AUSTRALIA,ACOUST AUST,Acoust. Aust.,T,3,https://www.editorialmanager.com/acau/default.aspx,FALSE,AUSTRALIA,1986,SPRINGER SINGAPORE PTE LTD,"#04-01 CENCON I, 1 TANNERY RD, SINGAPORE, SINGAPORE, 347719",YK508,http://www.springer.de/about/sub/singapore.html
84457,C9436J,1944-8244,1944-8252,ACS APPLIED MATERIALS & INTERFACES,ACS APPL MATER INTER,ACS Appl. Mater. Interfaces,W,51,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2009,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84459,D5793J,2373-9878,2373-9878,ACS BIOMATERIALS SCIENCE & ENGINEERING,ACS BIOMATER SCI ENG,ACS Biomater. Sci. Eng.,M,12,https://acs.manuscriptcentral.com/acs-ab/s1login,FALSE,UNITED STATES OF AMERICA,2015,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84460,D0537J,2155-5435,2155-5435,ACS CATALYSIS,ACS CATAL,ACS Catal.,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2011,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84461,D5097J,2374-7943,2374-7951,ACS CENTRAL SCIENCE,ACS CENTRAL SCI,ACS Central Sci.,M,12,https://acs.manuscriptcentral.com/acs-oc/s1login,TRUE,UNITED STATES OF AMERICA,2015,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84462,C6619J,1554-8929,1554-8937,ACS CHEMICAL BIOLOGY,ACS CHEM BIOL,ACS Chem. Biol.,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2006,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84463,D0035J,1948-7193,1948-7193,ACS CHEMICAL NEUROSCIENCE,ACS CHEM NEUROSCI,ACS Chem. Neurosci.,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2010,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84464,D0491J,2156-8952,2156-8944,ACS COMBINATORIAL SCIENCE,ACS COMB SCI,ACS Comb. Sci.,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2011,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84465,D9540J,2472-3452,2472-3452,ACS EARTH AND SPACE CHEMISTRY,ACS EARTH SPACE CHEM,ACS  Earth Space Chem.,M,12,,,UNITED STATES OF AMERICA,2017,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84466,D8602J,2380-8195,2380-8195,ACS ENERGY LETTERS,ACS ENERGY LETT,ACS Energy Lett.,M,12,,,UNITED STATES OF AMERICA,2016,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84467,D5728J,2373-8227,2373-8227,ACS INFECTIOUS DISEASES,ACS INFECT DIS,ACS Infect. Dis.,M,12,https://acs.manuscriptcentral.com/acs-id/s1login,FALSE,UNITED STATES OF AMERICA,2015,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84468,D1054J,2161-1653,2161-1653,ACS MACRO LETTERS,ACS MACRO LETT,ACS Macro Lett.,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2012,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84469,D0150J,1948-5875,1948-5875,ACS MEDICINAL CHEMISTRY LETTERS,ACS MED CHEM LETT,ACS Med. Chem. Lett.,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2010,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84477,13214J,1091-5397,1536-593X,ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,ACSMS Health Fit. J.,B,6,,,UNITED STATES OF AMERICA,1997,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
84470,C7685J,1936-0851,1936-086X,ACS NANO,ACS NANO,ACS Nano,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2007,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84471,D8687J,2470-1343,2470-1343,ACS OMEGA,ACS OMEGA,ACS Omega,M,12,,TRUE,UNITED STATES OF AMERICA,2016,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84472,D2539J,2330-4022,2330-4022,ACS PHOTONICS,ACS PHOTONICS,ACS Photonics,M,12,https://acs.manuscriptcentral.com/acs-ph/s1login,FALSE,UNITED STATES OF AMERICA,2014,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84473,D8080J,2379-3694,2379-3694,ACS SENSORS,ACS SENSORS,ACS Sens.,M,12,,,UNITED STATES OF AMERICA,2016,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84474,D1698J,2168-0485,2168-0485,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,ACS SUSTAIN CHEM ENG,ACS Sustain. Chem. Eng.,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2013,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84475,D1166J,2161-5063,2161-5063,ACS SYNTHETIC BIOLOGY,ACS SYNTH BIOL,ACS Synth. Biol.,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,2012,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84478,13869J,1610-1928,1861-9959,ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,Acta Acust. United Acust.,B,6,http://www.editorialmanager.com/aaa/default.aspx,FALSE,GERMANY,2002,S HIRZEL VERLAG,"POSTFACH 10 10 61, STUTTGART, GERMANY, D-70 009",WF501,http://www.hirzel.de
