Journal title,search title,search id,search hash,matched,suggestions
"Accounting, Auditing and Accountability Journal",,,,0.0,"{""suggestions"": []}"
Auditing: A Journal of Practice and Theory,,,,0.0,"{""suggestions"": []}"
Behavioral Research in Accounting,Behavioral Research in Accounting,jour.1143411,eb4da725c431e002eab89d758e0821b3d3a34e07,1.0,"{""suggestions"": [{""value"": ""Behavioral Research in Accounting"", ""data"": {""id"": ""jour.1143411"", ""title"": ""Behavioral Research in Accounting"", ""hash"": ""eb4da725c431e002eab89d758e0821b3d3a34e07""}}, {""value"": ""Advances in Accounting Behavioral Research"", ""data"": {""id"": ""jour.1173289"", ""title"": ""Advances in Accounting Behavioral Research"", ""hash"": ""d2f87b9a317f484186f584f29eb8616a2340f251""}}]}"
British Accounting Review,,,,2.0,"{""suggestions"": [{""value"": ""The British Accounting Review"", ""data"": {""id"": ""jour.1138400"", ""title"": ""The British Accounting Review"", ""hash"": ""bb551de0c8ea3ec663c019260acfcc5fa83a4961""}}]}"
British Tax Review,,,,0.0,"{""suggestions"": []}"
Critical Perspectives on Accounting,Critical Perspectives on Accounting,jour.1137906,edf7bd9da2e2864aaa8a293d4cd3bfedccf4f31d,1.0,"{""suggestions"": [{""value"": ""Critical Perspectives on Accounting"", ""data"": {""id"": ""jour.1137906"", ""title"": ""Critical Perspectives on Accounting"", ""hash"": ""edf7bd9da2e2864aaa8a293d4cd3bfedccf4f31d""}}]}"
European Accounting Review,European Accounting Review,jour.1138581,d7c390a12fa82b43c77017cdb219effe121837cc,1.0,"{""suggestions"": [{""value"": ""European Accounting Review"", ""data"": {""id"": ""jour.1138581"", ""title"": ""European Accounting Review"", ""hash"": ""d7c390a12fa82b43c77017cdb219effe121837cc""}}, {""value"": ""European Accounting and Management Review"", ""data"": {""id"": ""jour.1299171"", ""title"": ""European Accounting and Management Review"", ""hash"": ""8e39fb951f6595735a61270c68638a78e91a4f83""}}]}"
Financial Accountability and Management,Financial Accountability and Management,jour.1139403,fa7f59cf5fa36785922559849957bf58a5668b51,1.0,"{""suggestions"": [{""value"": ""Financial Accountability and Management"", ""data"": {""id"": ""jour.1139403"", ""title"": ""Financial Accountability and Management"", ""hash"": ""fa7f59cf5fa36785922559849957bf58a5668b51""}}]}"
Foundations and Trends in Accounting,,,,2.0,"{""suggestions"": [{""value"": ""Foundations and Trends\u00ae in Accounting"", ""data"": {""id"": ""jour.1281145"", ""title"": ""Foundations and Trends\u00ae in Accounting"", ""hash"": ""8548d125b0522615e41cf51bb63c0c705b043fc8""}}]}"
International Journal of Accounting,,,,2.0,"{""suggestions"": [{""value"": ""The International Journal of Accounting"", ""data"": {""id"": ""jour.1139026"", ""title"": ""The International Journal of Accounting"", ""hash"": ""470be82a1fd2b172bf15a021500a6d2e7b08c5ef""}}, {""value"": ""International Journal of Accounting Information Systems"", ""data"": {""id"": ""jour.1140880"", ""title"": ""International Journal of Accounting Information Systems"", ""hash"": ""1f8f137a1fc120b33e7e9ef6e179cb242661ea31""}}, {""value"": ""Journal of International Accounting Auditing and Taxation"", ""data"": {""id"": ""jour.1142284"", ""title"": ""Journal of International Accounting Auditing and Taxation"", ""hash"": ""ce7e461f038d98a040f1f3a7c64df520abf6e10b""}}, {""value"": ""Journal of International Financial Management and Accounting"", ""data"": {""id"": ""jour.1141965"", ""title"": ""Journal of International Financial Management and Accounting"", ""hash"": ""498f44d0b82a724172645ca5b8979f1b4bdb1c89""}}, {""value"": ""Journal of International Accounting Research"", ""data"": {""id"": ""jour.1144031"", ""title"": ""Journal of International Accounting Research"", ""hash"": ""e6de8f0cbc9ebd50014315b2483bebc859b7833d""}}, {""value"": ""International Journal of Accounting and Information Management"", ""data"": {""id"": ""jour.1144165"", ""title"": ""International Journal of Accounting and Information Management"", ""hash"": ""d4c33707b3e3101d44c53b2c7b3c19ad6e58e88b""}}, {""value"": ""International Journal of Academic Research in Accounting Finance and Management Sciences"", ""data"": {""id"": ""jour.1146916"", ""title"": ""International Journal of Academic Research in Accounting Finance and Management Sciences"", ""hash"": ""305add1859b5a9c9ea25df45d879f305758a9b0f""}}, {""value"": ""International Journal of Accounting and Financial Reporting"", ""data"": {""id"": ""jour.1145155"", ""title"": ""International Journal of Accounting and Financial Reporting"", ""hash"": ""d30ec45390ac41df74e7d7dca8b72c55da4326c3""}}, {""value"": ""International Journal of Critical Accounting"", ""data"": {""id"": ""jour.1144364"", ""title"": ""International Journal of Critical Accounting"", ""hash"": ""fa0b87e462ca55978094f4057b92a9cbebb9cd5d""}}, {""value"": ""International Journal of Accounting Auditing and Performance Evaluation"", ""data"": {""id"": ""jour.1144109"", ""title"": ""International Journal of Accounting Auditing and Performance Evaluation"", ""hash"": ""c94747ea344f88e146094a7f3281627b3433afb7""}}, {""value"": ""International Journal of Managerial and Financial Accounting"", ""data"": {""id"": ""jour.1145852"", ""title"": ""International Journal of Managerial and Financial Accounting"", ""hash"": ""768f64e1602aa567ce319c1f4ffcec1ce5fe6cbc""}}, {""value"": ""International Journal of Accounting Research"", ""data"": {""id"": ""jour.1297978"", ""title"": ""International Journal of Accounting Research"", ""hash"": ""63f4ca9cd3a280784c963090988a150db682e1dc""}}, {""value"": ""International Journal of Economics and Accounting"", ""data"": {""id"": ""jour.1146599"", ""title"": ""International Journal of Economics and Accounting"", ""hash"": ""d2252707db0f795842c2074dd8921e1a17f09322""}}, {""value"": ""International Journal of Accounting and Finance"", ""data"": {""id"": ""jour.1148293"", ""title"": ""International Journal of Accounting and Finance"", ""hash"": ""079379e616fa06e6fb10362bbc000fb9f6caa349""}}, {""value"": ""International Journal of Banking Accounting and Finance"", ""data"": {""id"": ""jour.1148540"", ""title"": ""International Journal of Banking Accounting and Finance"", ""hash"": ""38f34a8ad0aa4395d6c7820c3a7243598a57d157""}}, {""value"": ""International Journal of Accounting and Economics Studies"", ""data"": {""id"": ""jour.1290875"", ""title"": ""International Journal of Accounting and Economics Studies"", ""hash"": ""883da03792030b8f7c30bdfa32a63edff514254f""}}, {""value"": ""International Journal of Behavioural Accounting and Finance"", ""data"": {""id"": ""jour.1148541"", ""title"": ""International Journal of Behavioural Accounting and Finance"", ""hash"": ""3431197e58528880965d5f3622ce087e517ff505""}}, {""value"": ""The International Journal of Digital Accounting Research"", ""data"": {""id"": ""jour.1148070"", ""title"": ""The International Journal of Digital Accounting Research"", ""hash"": ""d35be3897596134df7ffe81429c800115dee48dd""}}, {""value"": ""International Journal of Corporate Finance and Accounting"", ""data"": {""id"": ""jour.1154946"", ""title"": ""International Journal of Corporate Finance and Accounting"", ""hash"": ""1f9b5313bbd10eab4774d432f5f0f6a63e0377f6""}}, {""value"": ""The International Journal of Accounting and Business Society"", ""data"": {""id"": ""jour.1299703"", ""title"": ""The International Journal of Accounting and Business Society"", ""hash"": ""d1223bcd306cc7412fdbc6d743fbe562e0ee8bf2""}}, {""value"": ""International Journal of Accounting and Taxation"", ""data"": {""id"": ""jour.1155295"", ""title"": ""International Journal of Accounting and Taxation"", ""hash"": ""b9d67e99f66ead338b2453c216c236c91631defe""}}, {""value"": ""International Journal of Accounting and Business Management"", ""data"": {""id"": ""jour.1298939"", ""title"": ""International Journal of Accounting and Business Management"", ""hash"": ""65c0ad8d327b8ef53c2d5553141b299bf46c8112""}}, {""value"": ""International Journal of Applied Economics Finance and Accounting"", ""data"": {""id"": ""jour.1365359"", ""title"": ""International Journal of Applied Economics Finance and Accounting"", ""hash"": ""cb3cc1bc9dbe150d5186032d9c1ad7456251850f""}}, {""value"": ""International Journal of Accounting and Financial Management Research"", ""data"": {""id"": ""jour.1300850"", ""title"": ""International Journal of Accounting and Financial Management Research"", ""hash"": ""ee79a99ba7ac4515937792e6de3ed2b5b23b7a81""}}, {""value"": ""International Journal of Finance & Accounting Studies"", ""data"": {""id"": ""jour.1157853"", ""title"": ""International Journal of Finance & Accounting Studies"", ""hash"": ""169438be8440b8c5c2dda131162f818a22ef1532""}}, {""value"": ""International Journal of Economics Business and Accounting Research (IJEBAR)"", ""data"": {""id"": ""jour.1338289"", ""title"": ""International Journal of Economics Business and Accounting Research (IJEBAR)"", ""hash"": ""3bbd293a754ae37a48a078673a47089ff5584de2""}}, {""value"": ""International Journal of Accounting and Finance Studies"", ""data"": {""id"": ""jour.1320900"", ""title"": ""International Journal of Accounting and Finance Studies"", ""hash"": ""38f8c854da3e2520f06571c5f0595c92fe0c63ee""}}, {""value"": ""International Journal of Finance and Accounting"", ""data"": {""id"": ""jour.1156865"", ""title"": ""International Journal of Finance and Accounting"", ""hash"": ""e77e15928836cef5d107923011a4af386c4acb73""}}, {""value"": ""International Journal of Accounting Finance and Risk Management"", ""data"": {""id"": ""jour.1365396"", ""title"": ""International Journal of Accounting Finance and Risk Management"", ""hash"": ""2211a61975960618eeb7a25de2112ba8fc0db8ab""}}]}"
Journal of Accounting and Public Policy,Journal of Accounting and Public Policy,jour.1138733,bef3b987547d3bb819e5846516b26e57a3eef927,1.0,"{""suggestions"": [{""value"": ""Journal of Accounting and Public Policy"", ""data"": {""id"": ""jour.1138733"", ""title"": ""Journal of Accounting and Public Policy"", ""hash"": ""bef3b987547d3bb819e5846516b26e57a3eef927""}}]}"
Journal of Accounting Literature,Journal of Accounting Literature,jour.1154206,97ce7f7ce98572309b782d63a685ef790b79f3b9,1.0,"{""suggestions"": [{""value"": ""Journal of Accounting Literature"", ""data"": {""id"": ""jour.1154206"", ""title"": ""Journal of Accounting Literature"", ""hash"": ""97ce7f7ce98572309b782d63a685ef790b79f3b9""}}]}"
"Journal of Accounting, Auditing and Finance",,,,2.0,"{""suggestions"": [{""value"": ""Journal of Auditing Finance and Forensic Accounting"", ""data"": {""id"": ""jour.1285330"", ""title"": ""Journal of Auditing Finance and Forensic Accounting"", ""hash"": ""3e8686da8f2d3526a76e8d2cd2b8026034dfc58a""}}, {""value"": ""journal of accounting finance and auditing studies (JAFAS)"", ""data"": {""id"": ""jour.1279106"", ""title"": ""journal of accounting finance and auditing studies (JAFAS)"", ""hash"": ""f2c9e3a962e96e17304bb36f411d97255731e10f""}}]}"
Journal of Business Finance and Accounting,,,,2.0,"{""suggestions"": [{""value"": ""Journal of Accounting Business and Finance Research"", ""data"": {""id"": ""jour.1300449"", ""title"": ""Journal of Accounting Business and Finance Research"", ""hash"": ""2ef2bd94a0947914ae9d3a862d8506bc9ecc142d""}}, {""value"": ""Indonesian Journal of Business Finance and Accounting"", ""data"": {""id"": ""jour.1329674"", ""title"": ""Indonesian Journal of Business Finance and Accounting"", ""hash"": ""9a62d63932e7dfa6efd5923a286c321415c968be""}}, {""value"": ""Journal of Business Accounting and Finance Perspectives"", ""data"": {""id"": ""jour.1337285"", ""title"": ""Journal of Business Accounting and Finance Perspectives"", ""hash"": ""c96e3f42bec5e2a7ebf6e78d46b78fa20f03fd5e""}}]}"
"Journal of International Accounting, Auditing and Taxation",,,,2.0,"{""suggestions"": [{""value"": ""Journal of International Accounting Auditing and Taxation"", ""data"": {""id"": ""jour.1142284"", ""title"": ""Journal of International Accounting Auditing and Taxation"", ""hash"": ""ce7e461f038d98a040f1f3a7c64df520abf6e10b""}}]}"
