eid,views,citations
2-s2.0-84988732066,0,3
2-s2.0-84955152595,0,7
2-s2.0-84958535056,0,22
2-s2.0-84954509170,0,10
2-s2.0-84975226398,0,0
2-s2.0-84975246854,0,2
2-s2.0-84961199443,0,9
2-s2.0-84954380801,0,6
2-s2.0-84946922864,0,9
2-s2.0-84942499978,0,6
2-s2.0-84937073751,0,0
2-s2.0-84930242719,0,1
2-s2.0-84930278210,0,11
2-s2.0-84901356079,0,26
2-s2.0-84898020814,0,0
2-s2.0-84898030611,0,18
2-s2.0-85057078442,656,0
2-s2.0-85056766704,824,0
2-s2.0-85047406873,1297,1
2-s2.0-85047648013,898,0
2-s2.0-85047272510,823,0
2-s2.0-85032886895,2285,3
2-s2.0-85041195286,2592,8
2-s2.0-85040677889,5359,6
2-s2.0-85032207676,1955,2
2-s2.0-85013443464,2277,4
2-s2.0-85006153545,1444,1
2-s2.0-84971667554,1868,7
2-s2.0-84994850586,4278,10
2-s2.0-84994812867,13638,15
2-s2.0-84949634015,5363,6
2-s2.0-84929948974,4242,13
2-s2.0-84923090085,34766,18
2-s2.0-84919487380,1657,2
2-s2.0-84919466281,2816,15
2-s2.0-84899640644,5257,29
2-s2.0-85064770032,0,0
2-s2.0-85064728934,0,1
2-s2.0-85064749537,0,1
2-s2.0-85064750575,0,0
2-s2.0-85064757986,0,2
2-s2.0-85050581814,0,1
2-s2.0-85050603572,0,0
2-s2.0-85044293446,0,1
2-s2.0-85036663450,0,1
2-s2.0-85036669033,0,0
2-s2.0-85027012840,0,4
2-s2.0-85027037121,0,3
2-s2.0-85027068320,0,5
2-s2.0-85027032792,0,4
2-s2.0-85016130845,0,3
2-s2.0-85016108261,0,8
2-s2.0-85003605065,0,9
2-s2.0-85003632995,0,12
2-s2.0-85003456380,0,10
2-s2.0-85003698543,0,3
2-s2.0-84980049390,0,13
2-s2.0-84969960043,0,3
2-s2.0-84969951615,0,1
2-s2.0-84958970420,0,12
2-s2.0-84958949559,0,9
2-s2.0-84959036222,0,1
2-s2.0-84959010470,0,2
2-s2.0-84955583188,0,7
2-s2.0-84955610839,0,8
2-s2.0-84943570244,0,0
2-s2.0-84943516784,0,2
2-s2.0-84943553997,0,44
2-s2.0-84943548308,0,13
2-s2.0-84928490885,0,14
2-s2.0-84943521646,0,9
2-s2.0-84896912261,0,4
2-s2.0-84896939051,0,5
2-s2.0-85065012445,0,1
2-s2.0-85029807606,0,1
2-s2.0-85029786029,0,1
2-s2.0-85016474633,0,6
2-s2.0-84989183262,0,2
2-s2.0-84989204325,0,1
2-s2.0-84956899671,0,3
2-s2.0-84943561728,0,10
2-s2.0-84928482538,0,12
2-s2.0-85041294863,1326,2
2-s2.0-85039846837,2516,1
2-s2.0-85017590223,1569,4
2-s2.0-85045776726,892,0
2-s2.0-85039163959,412,4
2-s2.0-85034782173,869,5
2-s2.0-85032281545,613,10
2-s2.0-85019843617,1716,2
2-s2.0-85023595070,5333,25
2-s2.0-85009260570,3842,6
2-s2.0-85012911272,616,3
2-s2.0-84955264937,1958,13
2-s2.0-84957681390,2284,25
2-s2.0-84958231116,5572,14
2-s2.0-84950294086,4161,6
2-s2.0-84951320587,3342,19
2-s2.0-84948088168,2668,9
2-s2.0-84928213515,3515,24
2-s2.0-84924259246,3306,6
2-s2.0-84924258488,8440,57
2-s2.0-84924264757,3398,9
2-s2.0-84922193725,5811,12
2-s2.0-84961331380,1697,16
2-s2.0-84919416129,2916,0
2-s2.0-84919461673,2177,2
2-s2.0-84919461064,1356,7
2-s2.0-84927175037,1252,3
2-s2.0-84902292512,2528,16
2-s2.0-84899657073,5863,7
2-s2.0-84897602880,2365,29
2-s2.0-84895909168,9845,46
2-s2.0-85048059690,0,1
2-s2.0-85039554842,0,2
2-s2.0-85029491087,0,3
2-s2.0-85016455271,0,2
2-s2.0-85014567497,0,7
2-s2.0-85015960601,0,2
2-s2.0-85001129200,0,0
2-s2.0-84991215695,0,3
2-s2.0-84969780595,0,0
2-s2.0-84978117041,0,2
2-s2.0-84996866131,0,3
2-s2.0-84963542779,0,11
2-s2.0-84946924845,0,6
2-s2.0-84920837037,0,2
2-s2.0-84921732771,0,27
2-s2.0-84920854538,0,13
2-s2.0-84963668229,0,1
2-s2.0-84904713066,0,1
2-s2.0-84937632140,0,13
2-s2.0-85027931792,0,6
2-s2.0-84937640337,0,5
2-s2.0-84920178521,0,8
2-s2.0-84920186276,0,1
2-s2.0-84904248463,0,6
2-s2.0-84899944513,0,5
2-s2.0-85041610883,0,3
2-s2.0-85041005862,0,5
2-s2.0-85034751244,0,7
2-s2.0-85034254204,0,11
2-s2.0-85039988936,0,1
2-s2.0-85028695711,0,2
2-s2.0-85017577135,0,2
2-s2.0-85016770487,0,14
2-s2.0-85008431863,0,0
2-s2.0-84979950231,0,21
2-s2.0-84982069217,0,17
2-s2.0-84982845308,0,17
2-s2.0-85055190367,1999,4
2-s2.0-85053049338,761,2
2-s2.0-85047081820,760,1
2-s2.0-85044143348,3414,6
2-s2.0-84994182442,1572,5
2-s2.0-84994850607,2220,13
2-s2.0-84949650186,2649,3
2-s2.0-84954285728,2919,3
2-s2.0-84953288733,2089,4
2-s2.0-84959858589,963,3
2-s2.0-84959486504,1013,1
2-s2.0-84943666019,1578,2
2-s2.0-84939571141,13301,112
2-s2.0-84939565760,1634,7
2-s2.0-84939571035,2825,3
2-s2.0-84922708456,2414,16
2-s2.0-84922741402,2715,6
2-s2.0-84922400491,1204,11
2-s2.0-84922403521,1579,3
2-s2.0-84905228959,2362,12
2-s2.0-84901608186,4015,10
2-s2.0-84901636197,2750,17
2-s2.0-84897573356,2532,15
2-s2.0-84895909962,4677,15
2-s2.0-85044089804,2020,1
2-s2.0-85049228803,2037,3
2-s2.0-85020731490,1571,1
2-s2.0-84969528892,2614,1
2-s2.0-85065020640,0,0
2-s2.0-85031093366,0,1
2-s2.0-85014854238,0,0
2-s2.0-84994383154,0,5
2-s2.0-84926526595,0,27
2-s2.0-84943562834,0,0
2-s2.0-84943565927,0,7
2-s2.0-84898734364,0,0
2-s2.0-84898731586,0,0
2-s2.0-84898759322,0,18
2-s2.0-85049873267,1850,1
2-s2.0-85009752460,2398,0
2-s2.0-84957928553,1831,6
2-s2.0-84998885583,16181,15
2-s2.0-84959098189,4990,9
2-s2.0-84969135232,5738,10
2-s2.0-84939825918,13758,27
2-s2.0-84960157049,5171,2
2-s2.0-84940852186,3780,9
2-s2.0-84960202597,1192,0
2-s2.0-84909968568,2885,28
2-s2.0-84909950641,7222,31
2-s2.0-84905725667,4183,16
2-s2.0-84899628884,7285,14
2-s2.0-84895906952,1964,4
2-s2.0-85059138473,0,0
2-s2.0-85057768233,0,0
2-s2.0-85057214177,0,0
2-s2.0-85041997343,0,3
2-s2.0-85037723974,0,0
2-s2.0-85053406184,0,1
2-s2.0-85050913084,0,1
2-s2.0-84971261007,0,1
2-s2.0-85047564076,0,1
2-s2.0-85043354457,0,1
2-s2.0-84959922084,0,6
2-s2.0-84997771396,0,7
2-s2.0-85042126489,0,1
2-s2.0-85038030607,0,0
2-s2.0-84958595799,0,2
2-s2.0-84949895621,0,2
2-s2.0-84941749872,0,0
2-s2.0-84947998189,0,1
2-s2.0-85020070192,0,2
2-s2.0-84931412506,0,0
2-s2.0-84929429637,0,8
2-s2.0-84984838448,0,11
2-s2.0-84924204446,0,5
2-s2.0-84919626167,0,4
2-s2.0-84924151778,0,8
2-s2.0-84927935743,0,1
2-s2.0-84921481435,0,8
2-s2.0-84959244542,0,6
2-s2.0-85028218130,0,7
2-s2.0-84954374457,0,3
2-s2.0-84954393446,0,12
2-s2.0-84930278054,0,11
2-s2.0-84940609417,0,16
2-s2.0-84930760312,0,8
2-s2.0-84925075986,0,2
2-s2.0-84925041289,0,24
2-s2.0-84925126124,0,4
2-s2.0-84919416121,0,2
2-s2.0-84919431261,0,4
2-s2.0-84927513640,0,26
2-s2.0-84927575209,0,6
2-s2.0-84901847409,0,11
2-s2.0-84901833783,0,7
2-s2.0-84894772212,0,0
2-s2.0-85063479230,0,0
2-s2.0-85063549916,0,1
2-s2.0-85063469102,0,0
2-s2.0-85063518719,0,0
2-s2.0-85029903508,0,3
2-s2.0-85029574233,0,4
2-s2.0-85019235012,0,7
2-s2.0-85017466959,0,2
2-s2.0-85016979043,0,2
2-s2.0-85015730100,0,1
2-s2.0-85015648172,0,0
2-s2.0-84981203598,0,4
2-s2.0-84958034861,0,7
2-s2.0-84961200884,0,2
2-s2.0-84946925947,0,6
2-s2.0-84950149630,0,1
2-s2.0-84946429869,0,5
2-s2.0-84934434620,0,18
2-s2.0-84911125061,0,2
2-s2.0-84911434445,0,5
2-s2.0-84911119454,0,3
2-s2.0-84899518166,0,7
2-s2.0-85053262192,0,0
2-s2.0-85053278651,0,3
2-s2.0-85053257383,0,1
2-s2.0-85033562153,0,0
2-s2.0-85033590971,0,4
2-s2.0-85033603693,0,3
2-s2.0-85029888365,0,1
2-s2.0-85029879321,0,0
2-s2.0-85027683261,0,2
2-s2.0-85021059919,0,4
2-s2.0-84987736258,0,4
2-s2.0-84938855788,0,3
2-s2.0-85053848080,1153,0
2-s2.0-85050855271,732,1
2-s2.0-85052135832,783,0
2-s2.0-85051505261,524,0
2-s2.0-85048993051,1054,1
2-s2.0-85009168734,848,0
2-s2.0-84964645074,1945,8
2-s2.0-84981724793,782,0
2-s2.0-84989902842,4813,10
2-s2.0-84960434213,1979,4
2-s2.0-84947869697,3468,12
2-s2.0-84929964910,1228,1
2-s2.0-84922748870,1828,5
2-s2.0-84922713909,996,0
2-s2.0-84901598399,5023,5
2-s2.0-84901633198,2684,11
2-s2.0-85065462236,0,0
2-s2.0-85065480191,0,0
2-s2.0-84943238270,0,0
2-s2.0-84928409362,0,2
2-s2.0-85064449549,0,0
2-s2.0-85064454665,0,0
2-s2.0-85030761032,0,2
2-s2.0-85030787016,0,0
2-s2.0-85030780539,0,0
2-s2.0-85028914069,0,2
2-s2.0-85022063972,0,2
2-s2.0-84962676299,0,6
2-s2.0-84962638966,0,1
2-s2.0-84904819516,0,1
2-s2.0-85065489201,0,2
2-s2.0-85006421165,0,7
2-s2.0-84928380514,0,0
2-s2.0-84928397869,0,0
2-s2.0-85051542236,0,1
2-s2.0-85051549736,0,0
2-s2.0-85040079744,0,0
2-s2.0-85034845320,0,0
2-s2.0-85034851063,0,0
2-s2.0-85017446802,0,10
2-s2.0-85009727692,0,1
2-s2.0-84963832012,0,14
2-s2.0-84958668251,0,3
2-s2.0-84929376975,0,1
2-s2.0-84913617366,0,2
2-s2.0-84899834345,0,13
2-s2.0-84899878576,0,9
2-s2.0-85044281107,0,0
2-s2.0-85052741691,0,2
2-s2.0-85010214405,0,0
2-s2.0-85006959862,0,4
2-s2.0-84987735522,0,1
2-s2.0-84961254241,0,1
2-s2.0-84951813135,0,16
2-s2.0-84930792004,0,2
2-s2.0-84925363161,0,0
2-s2.0-84923123318,0,0
2-s2.0-84908695007,0,0
2-s2.0-84897830714,0,41
2-s2.0-84897849818,0,16
2-s2.0-85048899920,3071,3
2-s2.0-85048551881,5486,1
2-s2.0-85042653299,2397,0
2-s2.0-85014774549,5821,2
2-s2.0-85042856348,17345,8
2-s2.0-85008144042,2339,1
2-s2.0-85013409065,4812,7
2-s2.0-85007228133,6577,2
2-s2.0-84994141166,26309,9
2-s2.0-84945968781,10700,0
2-s2.0-84923081957,4420,6
2-s2.0-84919478466,4136,1
2-s2.0-84908212935,3658,9
2-s2.0-84899994546,14114,8
2-s2.0-85068794056,0,1
2-s2.0-85052710465,0,0
2-s2.0-85052675547,0,0
2-s2.0-84990851922,0,10
2-s2.0-84990847713,0,3
2-s2.0-84958538790,0,0
2-s2.0-84940385103,0,5
2-s2.0-84928187716,0,19
2-s2.0-85051546785,0,1
2-s2.0-85046365001,0,0
2-s2.0-85046367159,0,2
2-s2.0-85046366335,0,0
2-s2.0-85032508500,0,11
2-s2.0-85013638519,0,16
2-s2.0-84983402993,0,4
2-s2.0-84941047628,0,0
2-s2.0-84988227648,0,1
2-s2.0-84928675372,0,3
2-s2.0-84923871214,0,5
2-s2.0-84913587897,0,10
2-s2.0-84926317721,0,5
2-s2.0-84926382425,0,2
2-s2.0-84898844434,0,7
2-s2.0-84898872658,0,6
2-s2.0-84897898888,0,15
2-s2.0-85045059742,9852,3
2-s2.0-85044940968,906,1
2-s2.0-85017115044,13728,27
2-s2.0-84992176528,3456,8
2-s2.0-84964823761,8003,18
2-s2.0-84959329121,2411,2
2-s2.0-84948994817,832,2
2-s2.0-84922607795,987,1
2-s2.0-85058221400,0,0
2-s2.0-85050151098,0,2
2-s2.0-85050097303,0,2
2-s2.0-85050158318,0,4
2-s2.0-85033498792,0,1
2-s2.0-85030696857,0,2
2-s2.0-84996995525,0,3
2-s2.0-84977659407,0,10
2-s2.0-84960333420,0,2
2-s2.0-84964931522,0,2
2-s2.0-84977651319,0,2
2-s2.0-84957809372,0,2
2-s2.0-84943756028,0,2
2-s2.0-84943768281,0,16
2-s2.0-84943813997,0,15
2-s2.0-84943820760,0,6
2-s2.0-84930408345,0,32
2-s2.0-84921663221,0,11
2-s2.0-84902261100,0,22
2-s2.0-84902262857,0,25
2-s2.0-84902285141,0,10
2-s2.0-84894098568,0,2
2-s2.0-85056109258,0,0
2-s2.0-85030869555,0,1
2-s2.0-85016280622,0,0
2-s2.0-85016235519,0,18
2-s2.0-84937554411,0,1
2-s2.0-85045576841,0,0
2-s2.0-85045562448,0,2
2-s2.0-85040734460,0,2
2-s2.0-85029623179,0,3
2-s2.0-85029622131,0,4
2-s2.0-85029664460,0,2
2-s2.0-85021824696,0,2
2-s2.0-85014562259,0,9
2-s2.0-85014547273,0,1
2-s2.0-84990176498,0,2
2-s2.0-84990248106,0,2
2-s2.0-84960939917,0,2
2-s2.0-84960883791,0,3
2-s2.0-84952022815,0,2
2-s2.0-84921370163,0,4
2-s2.0-84928983314,0,2
2-s2.0-84928985358,0,1
2-s2.0-85061940686,0,1
2-s2.0-85062015431,0,0
2-s2.0-85061917612,0,2
2-s2.0-85056449075,0,1
2-s2.0-85062002532,0,4
2-s2.0-85049647320,0,7
2-s2.0-85051719564,0,1
2-s2.0-85051712943,0,1
2-s2.0-85042317622,0,3
2-s2.0-85042262501,0,1
2-s2.0-85042300899,0,0
2-s2.0-85042270626,0,19
2-s2.0-85042282425,0,3
2-s2.0-85032931793,0,3
2-s2.0-85028826105,0,1
2-s2.0-85009811791,0,12
2-s2.0-84994633351,0,4
2-s2.0-84964319828,0,12
2-s2.0-84964316549,0,3
2-s2.0-84964325595,0,10
2-s2.0-84955594487,0,1
2-s2.0-84955601445,0,8
2-s2.0-84955569977,0,8
2-s2.0-84945585876,0,8
2-s2.0-84940972934,0,7
2-s2.0-84929254860,0,10
2-s2.0-84917736285,0,4
2-s2.0-84926625995,0,0
2-s2.0-85063503789,0,0
2-s2.0-85063454020,0,1
2-s2.0-85052106184,0,0
2-s2.0-85041396540,0,1
2-s2.0-85041390495,0,0
2-s2.0-85034655440,0,1
2-s2.0-85019920332,0,1
2-s2.0-84994201320,0,0
2-s2.0-84994353707,0,5
2-s2.0-84956906763,0,2
2-s2.0-84956949094,0,9
2-s2.0-84926325876,0,16
2-s2.0-84943561149,0,2
2-s2.0-84943526527,0,11
2-s2.0-84903204634,0,6
2-s2.0-85028890184,0,9
2-s2.0-84995402653,0,1
2-s2.0-85008466184,0,4
2-s2.0-85011649857,0,3
2-s2.0-84957943853,0,4
2-s2.0-85049948746,0,1
2-s2.0-85048480713,0,1
2-s2.0-85042860485,0,2
2-s2.0-85037558372,0,1
2-s2.0-85037588043,0,1
2-s2.0-85033574408,0,3
2-s2.0-85029842343,0,1
2-s2.0-85021321341,0,0
2-s2.0-85017592683,0,3
2-s2.0-85017617094,0,4
2-s2.0-85017628746,0,5
2-s2.0-85008507034,0,5
2-s2.0-85008429074,0,3
2-s2.0-85008485172,0,2
2-s2.0-84988530104,0,6
2-s2.0-84988524996,0,2
2-s2.0-84975062652,0,2
2-s2.0-84975029555,0,5
2-s2.0-84960857820,0,13
2-s2.0-84960918911,0,6
2-s2.0-84960922792,0,3
2-s2.0-84942032527,0,5
2-s2.0-84931420159,0,1
2-s2.0-84931441979,0,4
2-s2.0-84946166224,0,3
2-s2.0-84924290336,0,1
2-s2.0-84921047439,0,4
2-s2.0-84912069152,0,7
2-s2.0-84898642524,0,8
2-s2.0-85053307837,298,1
2-s2.0-85053119426,306,1
2-s2.0-85047600499,396,0
2-s2.0-85043999900,979,4
2-s2.0-85033391836,396,0
2-s2.0-85032906162,697,7
2-s2.0-85019022955,1550,1
2-s2.0-84994508121,777,0
2-s2.0-84962493961,1122,4
2-s2.0-84922518462,1925,7
2-s2.0-84900496608,1183,2
2-s2.0-84900504727,4192,10
2-s2.0-85025146040,0,0
2-s2.0-85021289513,0,1
2-s2.0-84995393633,0,0
2-s2.0-84995514627,0,1
2-s2.0-84941124807,0,0
2-s2.0-84914674074,0,4
2-s2.0-84914668237,0,10
2-s2.0-85067421032,0,0
2-s2.0-85065405094,0,0
2-s2.0-85057302889,0,0
2-s2.0-85057055481,0,0
2-s2.0-85057016403,0,0
2-s2.0-85049018875,0,1
2-s2.0-85056990920,0,4
2-s2.0-85057004069,0,0
2-s2.0-85056997390,0,0
2-s2.0-85056998518,0,0
2-s2.0-85057192824,0,0
2-s2.0-85044762300,0,3
2-s2.0-85057007213,0,0
2-s2.0-85055433702,0,1
2-s2.0-85051290342,0,2
2-s2.0-85046760901,0,0
2-s2.0-85046713658,0,1
2-s2.0-85044524196,0,2
2-s2.0-85044530284,0,1
2-s2.0-85029829401,0,1
2-s2.0-85029876223,0,1
2-s2.0-85029851153,0,1
2-s2.0-85021158496,0,1
2-s2.0-85012113113,0,1
2-s2.0-85012186670,0,3
2-s2.0-84976577101,0,3
2-s2.0-84956629851,0,10
2-s2.0-84960099961,0,5
2-s2.0-84956626523,0,10
2-s2.0-84959867932,0,1
2-s2.0-84952631725,0,1
2-s2.0-84959932266,0,9
2-s2.0-84959887109,0,3
2-s2.0-85058119270,0,9
2-s2.0-85062557027,0,0
2-s2.0-85062600462,0,4
2-s2.0-85049054997,0,0
2-s2.0-85031103262,0,11
2-s2.0-85031099765,0,20
2-s2.0-85031118993,0,23
2-s2.0-85031111767,0,36
2-s2.0-85031116060,0,23
2-s2.0-85021110766,0,6
2-s2.0-84983317381,0,5
2-s2.0-84975317605,0,8
2-s2.0-84958695958,0,1
2-s2.0-84934753090,0,10
2-s2.0-85051723635,0,2
2-s2.0-85045908738,0,4
2-s2.0-85041910779,0,1
2-s2.0-85041903098,0,0
2-s2.0-85041905949,0,7
2-s2.0-85043305755,0,4
2-s2.0-85045693102,0,0
2-s2.0-85045679043,0,2
2-s2.0-84994306413,0,5
2-s2.0-85045639450,0,0
2-s2.0-85045654570,0,0
2-s2.0-85045617428,0,2
2-s2.0-85015997528,0,18
2-s2.0-85047068304,0,0
2-s2.0-85047075873,0,11
2-s2.0-84982882825,0,11
2-s2.0-85064468693,0,0
2-s2.0-85064449129,0,0
2-s2.0-84994234848,0,1
2-s2.0-84944736786,0,3
2-s2.0-85054158273,0,1
2-s2.0-85046425627,0,3
2-s2.0-85041190052,0,0
2-s2.0-85029592768,0,1
2-s2.0-85009279357,0,0
2-s2.0-84994591254,0,0
2-s2.0-84961207505,0,18
2-s2.0-84949529587,0,5
2-s2.0-84939466303,0,0
2-s2.0-84939464335,0,0
2-s2.0-84926314623,0,1
2-s2.0-84929150762,0,23
2-s2.0-84924372755,0,22
2-s2.0-85057035892,0,1
2-s2.0-85057012305,0,1
2-s2.0-85057159972,0,1
2-s2.0-85058406724,0,4
2-s2.0-84992129710,0,2
2-s2.0-85050342506,0,2
2-s2.0-85049942735,0,1
2-s2.0-85049794873,0,0
2-s2.0-85042916722,0,6
2-s2.0-85045741074,0,2
2-s2.0-85010680162,0,2
2-s2.0-85048055897,0,0
2-s2.0-85047794725,0,0
2-s2.0-85044547067,0,0
2-s2.0-85028533120,0,0
2-s2.0-85021143849,0,4
2-s2.0-85020631079,0,6
2-s2.0-85042351184,0,0
2-s2.0-85041548972,0,1
2-s2.0-85041318862,0,5
2-s2.0-85027009336,0,9
2-s2.0-85020731841,0,0
2-s2.0-84986216577,0,9
2-s2.0-85031424545,0,0
2-s2.0-85021650068,0,2
2-s2.0-84973889158,0,0
2-s2.0-85014777747,0,1
2-s2.0-85010700256,0,0
2-s2.0-84981724870,0,0
2-s2.0-84965022352,0,2
2-s2.0-84996564635,0,0
2-s2.0-84996548669,0,3
2-s2.0-84990186932,0,3
2-s2.0-84950160450,0,6
2-s2.0-84949102912,0,2
2-s2.0-84940579221,0,11
2-s2.0-84939258094,0,21
2-s2.0-84927731359,0,11
2-s2.0-84902813584,0,5
2-s2.0-84899407852,0,9
2-s2.0-84897449708,0,11
2-s2.0-84893762523,0,0
2-s2.0-84893809871,0,0
2-s2.0-84893717672,0,0
2-s2.0-84890807661,0,2
2-s2.0-85055825707,0,1
2-s2.0-85055347082,0,2
2-s2.0-85048674048,0,1
2-s2.0-85048679062,0,1
2-s2.0-85044123528,0,0
2-s2.0-85029151485,0,8
2-s2.0-84973146952,0,2
2-s2.0-84961669749,0,12
2-s2.0-84962068222,0,5
2-s2.0-84942317473,0,0
2-s2.0-84905219793,0,7
2-s2.0-85045218551,3139,7
2-s2.0-85027526100,2679,4
2-s2.0-84994517468,899,3
2-s2.0-85011066914,634,1
2-s2.0-85015288821,618,2
2-s2.0-84932199910,469,0
2-s2.0-84932192792,1971,13
2-s2.0-84932199718,1479,4
2-s2.0-84903768490,1278,7
2-s2.0-84891664277,1982,25
2-s2.0-85049488518,0,3
2-s2.0-85018765862,0,1
2-s2.0-85018729836,0,1
2-s2.0-85018770300,0,1
2-s2.0-85058642200,0,0
2-s2.0-85051529962,0,3
2-s2.0-85051544413,0,2
2-s2.0-85044135638,0,0
2-s2.0-85044144630,0,1
2-s2.0-85043692705,0,4
2-s2.0-85033443278,0,0
2-s2.0-85022061734,0,1
2-s2.0-85021897217,0,3
2-s2.0-85012170726,0,0
2-s2.0-84976385304,0,1
2-s2.0-84957831426,0,6
2-s2.0-84958049582,0,13
2-s2.0-84958053510,0,6
2-s2.0-84938866285,0,6
2-s2.0-84922754260,0,3
2-s2.0-84911963942,0,7
